filename,ahi tuna,almond,amaranth,anchovy,anise,ant,apple,apple_cider,apricot,artichoke,arugula,asparagus,avocado,banana,barley,basil,bay leaf,bean,beef,beet,betel nut,bison,blackberry,blueberry,bok choy,bonito,bony fish,brazil nut,broccoli,buckwheat,bulgur wheat,butter,butterfish,cabbage,canola,cardamom,carrot,cashew,cauliflower,celery,chard,cheddar cheese,cherry,chia,chicken,cicerchia,cilantro,cinnamon,clementine,coconut,cod,coffee,corn,corn husk,cranberry,cream,cricket,cucumber,dill,dragonfruit,duck,egg_chicken,egg_quail,egg_salmon,eggplant,farro,fava bean,fennel,feta cheese,fig,fish_undetermined,flax seed,flower,garlic,ginger,goat cheese,golden berry,grain_fermented,grape,grape_fermented,grapefruit,grass,grasshopper,ground cherry,guada hervida,guava,hazelnut,hearts of palm,hemp seed,herring,honey,infusion,insect,juniper berry,kale,kelp,kiwi,kumquat,lamb,langostino,lemon,lentil,lettuce,licorice,lime,lime leaf,lizard,lotus seed,macadamia,mackerel,mandarin,mango,mangosteen,maple syrup,meat_undetermined,melon,milk,milk_cow,milk_goat,millet,mint,molasses,moriche palm,mouse,mushroom,nasturtium leaf,nori,oat,olive,onion,orange,oregano,parsley,passionfruit,pea,peach,peanut,pear,pecan,pepper,persimmon,pig,pine nut,pineapple,pistachio,pitaya,plantain,poppy seed,potato,pumpkin,quinoa,rabbit,radish,raspberry,rat,rhubarb,rice,rock fish,rosemary,saffron,sage,salmon,salt,sardine,seaweed,sesame,sesame seed,shrimp,silkworm,silversides,smelt,snail,soda,spinach,squash,squid,strawberry,sugarcane,sumac,sunflower,sweet potato,taro,tea,thyme,tomato,trout,truffle black,turkey,veal,walnut,wheat,worm,yeast,yogurt_cow,yuca
GItube_RawData_CSHpos_Sa_19.mzML,3,3,0,7,0,4,22,186,6,3,0,0,24,0,0,0,3,33,419,2,2,4,0,0,0,4,10,3,0,0,0,4,36,4,0,0,2,6,0,3,0,11,0,4,30,0,0,0,0,2,7,67,9,0,0,11,7,3,0,3,13,46,7,2,3,2,2,0,0,0,15,0,0,0,0,5,0,20,6,13,0,0,8,0,0,0,0,0,4,39,2,0,0,0,0,2,0,0,22,12,0,8,0,0,0,2,19,2,4,141,0,0,2,2,9,0,3,17,12,0,2,0,0,57,0,0,4,6,0,4,0,0,0,2,0,4,12,5,0,6,0,53,11,0,0,0,5,2,0,0,3,8,0,0,4,0,10,6,4,0,0,6,0,18,6,9,0,11,0,27,43,5,14,0,0,23,0,0,0,2,0,0,14,0,33,158,0,11,16,4,11,14,4,16,0
GItube_RawData_CSHpos_Sa_02.mzML,0,4,0,3,0,0,11,152,4,0,0,0,24,0,0,0,4,42,94,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,13,7,0,4,0,11,0,0,5,0,0,0,0,0,4,66,5,0,0,8,4,3,0,0,4,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,17,4,8,0,0,6,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,5,0,7,3,0,0,0,0,3,3,17,0,0,0,4,0,0,7,8,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,4,10,0,0,11,0,8,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,5,0,6,0,0,6,0,15,0,0,0,0,0,0,0,0,0,12,0,21,22,0,4,3,11,10,5,3,76,0
GItube_RawData_CSHpos_Sa_20.mzML,0,7,0,17,0,7,32,310,12,0,0,0,30,11,0,0,0,89,802,0,0,11,0,0,0,8,16,0,0,0,0,13,74,9,0,0,27,14,11,8,0,18,0,9,70,0,0,0,0,12,11,74,30,0,0,40,14,7,0,7,26,90,14,8,0,8,0,0,0,9,35,0,0,0,0,11,0,32,11,28,0,0,15,0,0,0,0,0,11,105,0,0,0,0,0,0,0,0,50,26,0,20,12,0,0,0,37,0,8,284,8,8,0,0,26,9,26,64,33,0,0,0,0,129,12,0,0,40,0,18,10,0,0,0,0,7,29,12,0,27,0,96,17,0,0,0,8,7,0,0,20,14,0,8,8,0,66,9,0,0,0,14,0,36,11,14,0,28,0,61,89,12,20,0,0,56,0,0,0,11,0,0,24,0,79,335,0,20,41,9,63,35,7,102,0
GItube_RawData_CSHpos_Sa_03.mzML,8,19,6,29,0,10,25,140,7,21,0,6,25,20,0,0,0,194,1614,0,0,20,0,0,0,8,23,7,0,6,0,15,136,8,0,0,17,30,9,9,0,19,0,29,137,6,0,0,0,7,13,70,74,0,0,40,34,9,5,0,53,164,28,17,0,10,12,0,0,6,70,5,0,0,0,9,0,17,9,8,0,0,42,0,0,0,5,8,18,153,7,0,0,0,5,5,0,0,83,45,13,61,11,0,7,0,65,0,11,436,12,6,0,7,45,0,50,55,34,0,0,0,0,201,8,5,9,83,0,9,12,0,0,6,6,0,37,5,0,17,0,187,28,0,8,0,0,7,0,8,29,22,0,13,12,0,128,14,0,0,0,27,0,51,12,20,0,58,12,78,157,21,11,0,0,101,0,0,0,16,0,0,57,6,330,580,5,30,58,15,88,81,16,144,0
GItube_RawData_CSHpos_Sa_04.mzML,11,22,0,29,0,11,46,210,16,18,0,0,29,25,0,0,0,200,1506,0,0,20,0,9,0,11,23,8,0,0,0,19,144,10,0,0,35,36,10,0,0,22,0,35,143,0,0,0,0,0,14,79,73,0,0,37,33,9,0,8,53,178,27,15,0,9,10,0,0,9,71,0,0,0,8,11,0,41,22,22,0,0,42,0,0,0,8,8,18,159,13,0,0,0,0,0,0,0,91,43,15,64,20,0,0,0,65,0,12,463,18,8,0,9,48,0,59,72,37,0,0,0,0,213,9,0,9,88,0,15,19,0,0,11,8,0,39,0,0,25,0,191,27,0,10,0,0,10,0,12,29,24,0,18,15,0,129,17,0,0,0,26,0,61,19,27,0,58,11,83,161,23,22,0,0,113,13,0,0,15,0,0,77,9,302,578,0,30,64,17,93,77,17,146,0
GItube_RawData_CSHpos_Sa_05.mzML,21,28,0,16,0,11,37,184,14,21,10,0,36,23,14,0,0,279,1258,0,14,11,12,19,9,10,25,16,0,0,12,24,113,10,0,0,48,42,10,14,11,17,10,46,152,16,15,0,0,11,16,92,73,0,0,34,29,11,9,0,38,146,19,9,0,10,17,0,0,0,80,17,0,0,18,15,0,34,40,15,0,9,51,0,0,10,14,10,22,136,16,9,0,0,0,0,0,0,98,37,23,91,35,0,0,0,39,0,10,366,26,15,0,10,55,9,79,72,32,0,0,0,0,190,19,14,9,113,0,17,51,0,0,10,17,0,56,15,0,39,0,214,38,0,15,0,11,9,0,16,51,19,9,18,12,0,137,16,0,0,0,26,0,54,25,39,0,54,0,60,116,13,24,10,14,103,22,0,0,21,0,0,147,14,292,493,0,28,56,29,129,84,20,159,0
GItube_RawData_CSHpos_Sa_06.mzML,7,17,4,14,0,6,14,133,4,10,0,4,28,13,4,0,3,117,730,2,4,6,4,6,0,6,15,6,0,4,4,12,79,4,0,2,18,23,5,3,2,17,0,20,64,3,2,0,2,6,8,82,44,0,3,28,12,3,2,0,24,92,14,8,2,6,6,0,0,5,41,3,0,2,3,7,2,16,10,6,0,2,20,2,0,3,7,5,9,93,5,3,3,0,0,5,0,2,41,22,7,33,10,0,5,0,24,2,9,259,9,4,2,4,21,6,24,42,26,0,0,0,2,106,6,3,5,58,0,9,11,0,0,0,7,2,31,2,4,10,0,97,19,2,5,0,4,5,2,6,22,11,0,8,6,2,83,8,2,2,2,16,0,38,9,17,2,27,2,53,96,9,6,2,0,62,2,2,0,10,0,0,34,6,125,328,3,16,27,11,57,35,9,64,0
GItube_RawData_CSHpos_Sa_07.mzML,6,24,6,16,0,8,25,135,6,12,0,8,35,17,6,7,0,174,792,0,6,7,5,14,0,5,14,10,0,6,7,13,85,10,0,0,34,30,10,12,7,19,0,30,87,12,0,0,0,8,10,71,57,7,6,31,19,7,0,5,32,98,16,7,6,9,17,0,0,10,41,0,0,0,6,11,0,18,21,10,0,0,29,0,0,0,6,6,15,107,8,0,0,0,5,0,0,0,48,28,10,66,28,0,7,0,35,0,13,300,12,6,0,5,26,8,41,46,26,0,0,0,0,135,7,0,0,72,0,17,20,5,0,0,18,0,39,7,5,60,0,124,31,0,8,0,5,9,0,10,35,15,8,8,9,0,113,9,0,0,0,18,5,39,14,26,0,34,6,50,107,13,15,0,0,67,6,0,0,18,5,0,58,12,180,374,0,23,33,15,94,48,11,104,0
GItube_RawData_CSHpos_Sa_08.mzML,13,32,0,23,7,16,28,88,9,24,12,0,107,22,13,9,7,230,1481,0,15,13,7,19,0,8,20,14,0,0,6,23,127,11,0,14,55,40,14,15,16,18,0,37,152,14,13,6,0,15,12,157,79,11,6,50,26,11,10,6,45,160,23,10,10,12,17,6,0,11,59,7,0,6,23,19,0,19,34,13,7,0,59,6,7,9,15,9,28,142,18,6,0,0,0,8,0,0,83,42,20,64,33,6,0,0,58,0,18,378,23,17,0,7,41,15,65,57,23,7,0,0,0,205,23,12,10,126,0,17,47,0,8,6,16,7,64,14,8,69,6,222,46,6,14,0,14,23,0,19,52,23,8,10,10,0,126,13,10,0,0,19,0,49,23,39,9,61,9,70,123,17,20,8,12,100,15,0,7,22,7,0,127,14,258,550,7,33,65,42,124,73,14,206,6
GItube_RawData_CSHpos_Sa_09.mzML,7,23,0,17,0,11,21,140,6,14,0,0,39,15,0,0,0,126,1054,0,8,10,0,12,0,6,16,6,0,0,6,13,95,6,0,10,30,32,8,9,6,17,0,22,107,6,0,0,0,12,10,70,48,0,7,35,21,0,0,0,32,114,20,8,0,11,7,0,0,8,39,0,0,0,9,13,0,23,17,8,0,0,30,0,0,5,7,0,13,98,8,0,0,0,0,0,0,0,55,37,7,33,22,0,0,0,43,0,11,332,9,0,0,6,36,7,38,48,23,0,0,0,0,153,10,0,7,68,0,6,14,0,0,0,0,0,38,8,5,23,0,155,29,0,9,0,7,10,0,9,22,19,0,0,9,0,93,8,0,0,0,17,0,35,14,19,0,38,0,56,93,12,23,0,0,70,12,0,0,12,0,0,27,7,114,392,0,26,43,17,75,53,7,123,0
