filename,ahi tuna,almond,amaranth,anchovy,ant,apple,apple_cider,apricot,artichoke,artificial sweetener,arugula,asparagus,avocado,banana,barley,basil,bay leaf,bean,beef,beet,betel nut,bison,blackberry,blueberry,bonito,bony fish,broccoli,brussel sprout,bulgur wheat,butter,butterfish,cabbage,canola,cardamom,carrot,cashew,cauliflower,celery,chard,cheddar cheese,cherry,chia,chicken,cicerchia,cilantro,clementine,coconut,cod,coffee,corn,corn husk,cream,cricket,cucumber,dill,dragonfruit,duck,egg_chicken,egg_quail,eggplant,farro,fava bean,fig,fish_undetermined,flax seed,flower,garlic,ginger,goat cheese,grain_fermented,grape,grape_fermented,grapefruit,grasshopper,ground cherry,guava,hazelnut,hearts of palm,hemp seed,herring,honey,infusion,kale,kelp,kumquat,lamb,langostino,lemon,lentil,lettuce,lime,lizard,macadamia,mackerel,mandarin,mango,maple syrup,marigold,meat_undetermined,melon,milk,milk_cow,milk_goat,mint,mouse,mushroom,nasturtium,oat,onion,orange,oregano,parsley,passionfruit,pea,peach,peanut,pear,pepper,pig,pine nut,pineapple,pistachio,plantain,pomelo,poppy seed,potato,pumpkin,quinoa,rabbit,radish,raspberry,rat,rhubarb,rice,rock fish,rosemary,salmon,salt,sardine,seaweed,sesame,shrimp,silkworm,silversides,smelt,snail,soda,spinach,squash,squid,strawberry,sunflower,sweet potato,tea,thyme,tomato,trout,truffle black,turkey,veal,walnut,wheat,worm,yeast,yogurt_cow
4050195852.mzXML,0,0,0,0,0,140,1236,0,49,0,0,0,51,53,0,0,0,465,1694,0,0,0,0,64,0,0,0,0,0,53,87,0,0,0,142,0,0,0,0,0,0,0,151,0,0,0,0,0,548,150,0,80,0,83,0,0,56,147,0,0,0,0,0,81,0,0,0,0,0,199,81,186,0,0,0,0,0,0,0,118,66,0,0,0,0,95,0,50,85,86,0,67,0,359,0,0,0,0,63,0,112,179,64,0,222,69,0,126,120,86,0,0,0,0,0,64,52,265,235,0,0,0,0,0,0,0,0,77,0,0,0,0,0,235,0,0,0,0,0,0,0,56,0,62,105,0,65,0,0,86,57,0,0,463,0,1036,477,0,0,99,0,220,86,0,929
4050195684.mzXML,0,0,0,0,0,133,1082,0,50,0,0,0,59,58,0,0,0,454,2038,0,0,0,0,73,0,0,0,0,0,54,135,0,0,0,162,0,0,0,0,0,0,48,169,0,0,0,0,0,759,169,0,100,0,81,0,0,58,184,0,0,0,0,0,111,0,0,47,0,0,173,81,160,0,54,0,0,0,0,0,159,54,0,0,0,0,106,48,60,76,84,0,85,0,481,53,0,0,0,63,0,143,199,64,0,274,78,0,124,123,94,0,0,0,0,0,50,63,263,250,0,0,0,0,0,0,0,0,73,0,0,0,0,0,236,0,0,0,0,49,0,0,84,0,84,132,0,75,0,0,135,64,0,0,478,0,1131,588,0,0,105,0,253,98,0,1080
4050195696.mzXML,0,0,0,0,0,118,1094,0,0,0,0,0,0,0,0,0,0,322,1090,0,0,0,0,52,0,0,0,0,0,0,62,0,0,0,108,0,0,0,0,0,0,0,93,0,0,0,0,0,641,95,0,61,0,59,0,0,0,96,0,0,0,0,0,61,0,0,0,0,0,163,60,156,0,0,0,0,0,0,0,83,59,0,0,0,0,69,0,0,49,76,0,47,0,263,0,0,0,0,41,0,105,141,48,0,140,63,0,63,92,67,0,0,0,0,0,0,43,176,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,45,67,0,62,0,0,69,0,0,0,405,0,632,289,0,0,70,0,143,62,0,846
4050201916.mzXML,0,0,0,0,0,110,960,0,38,0,0,0,52,43,0,0,0,391,1538,0,0,0,0,58,0,0,0,0,0,41,99,0,0,0,109,0,0,0,0,0,0,40,145,0,0,0,0,0,567,118,42,82,0,67,0,0,51,137,0,0,0,0,0,87,0,0,0,0,0,177,79,153,0,0,0,0,0,0,0,135,49,0,0,0,0,93,0,0,68,79,0,68,0,349,0,0,0,0,50,42,118,153,48,0,212,67,0,84,101,69,0,0,0,0,0,53,50,227,230,0,0,0,0,0,0,0,0,66,0,0,0,0,0,171,0,0,0,0,40,0,0,60,0,64,110,0,64,0,0,105,55,0,0,364,0,707,475,0,0,104,40,200,74,0,880
4050201928.mzXML,0,47,0,0,0,135,1078,0,48,0,0,0,51,58,0,42,0,454,1880,0,0,0,0,65,0,0,0,0,0,52,117,0,0,0,152,0,0,42,41,0,0,46,172,0,0,0,0,0,758,157,41,98,0,86,0,0,53,195,0,0,0,0,0,107,0,0,48,0,0,170,81,158,0,41,0,0,0,0,0,151,60,0,0,0,0,103,0,53,76,93,0,73,0,398,45,40,0,0,58,47,132,200,62,0,250,80,0,116,113,95,0,0,0,0,0,56,70,259,262,0,0,0,0,0,0,0,0,81,0,0,49,0,0,254,0,40,0,0,46,0,0,77,0,78,123,0,68,0,0,116,72,0,0,448,0,936,557,0,40,110,42,250,89,0,1001
4050201940.mzXML,0,74,0,0,0,134,1041,0,55,0,0,0,67,62,0,0,0,600,2152,0,0,0,0,69,0,0,0,0,0,58,134,0,0,0,168,60,0,0,0,0,0,70,216,0,0,0,0,0,686,193,0,117,0,79,0,0,67,201,0,0,0,0,0,116,0,0,0,0,0,181,94,147,0,59,0,0,0,0,0,181,64,0,0,0,0,112,0,68,120,95,0,102,0,509,61,0,0,0,63,0,158,213,64,0,306,80,0,169,136,109,0,0,0,0,0,89,63,293,305,56,0,0,0,0,0,0,0,95,0,0,68,0,0,309,0,0,0,0,0,0,0,96,0,86,166,0,84,0,0,128,74,0,0,501,0,1159,669,0,0,107,56,280,125,0,948
4050202049.mzXML,0,0,0,0,0,112,1085,38,30,0,0,0,33,34,0,0,0,272,1056,0,0,0,0,43,0,0,0,0,0,42,63,0,0,0,107,0,0,0,0,0,0,0,103,0,0,0,0,0,254,84,30,68,0,64,0,0,34,96,0,0,0,0,0,62,0,0,0,0,0,129,54,130,0,0,0,0,0,0,0,83,50,0,0,0,0,65,0,0,41,74,0,45,0,238,0,0,0,0,41,0,84,137,47,0,139,57,0,58,76,48,0,0,0,0,0,32,41,162,168,0,0,0,0,0,0,0,0,48,0,0,0,0,0,119,0,0,0,0,0,0,0,39,0,42,72,0,64,0,0,69,38,0,0,223,0,540,290,0,0,73,0,141,49,0,735
4050202061.mzXML,0,45,0,0,0,122,946,0,53,0,0,0,50,57,0,0,0,526,2032,0,0,0,0,51,0,0,0,0,0,55,149,0,0,0,146,46,0,0,0,0,0,60,201,0,0,0,0,0,784,160,58,100,0,82,0,0,63,203,0,0,0,0,0,129,0,0,51,0,0,174,81,155,0,55,0,0,0,0,0,191,54,0,0,0,0,115,51,68,102,77,0,78,0,476,54,0,0,0,64,0,123,186,58,0,307,75,0,141,113,95,0,0,0,0,0,64,65,252,280,48,0,0,0,0,0,0,0,89,0,0,55,0,0,271,0,0,45,0,60,0,0,99,0,95,169,0,69,0,0,139,54,0,0,477,0,925,674,0,51,111,52,238,113,0,853
4050202073.mzXML,0,0,0,0,0,155,1350,0,0,0,0,0,0,64,0,0,0,483,1819,0,0,0,0,72,0,0,0,0,0,58,116,0,0,0,164,0,0,0,0,0,0,0,183,0,0,0,0,0,767,155,0,104,0,89,0,0,59,184,0,0,0,0,0,97,0,0,0,0,0,202,95,190,0,0,0,0,0,0,0,153,71,0,0,0,0,98,0,0,82,101,0,77,0,414,0,0,0,0,58,0,124,197,61,0,273,75,0,133,129,90,0,0,0,0,0,65,63,258,257,0,0,0,0,0,0,0,0,83,0,0,0,0,0,257,0,0,0,0,0,0,0,73,0,73,133,0,83,0,0,116,66,0,0,526,0,1028,557,0,0,106,0,263,90,0,999
4050202085.mzXML,0,0,0,0,0,136,1069,0,0,0,0,0,0,0,0,0,0,367,1668,0,0,0,0,65,0,0,0,0,0,0,112,0,0,0,131,0,0,0,0,0,0,0,152,0,0,0,0,0,721,144,0,84,0,69,0,0,0,146,0,0,0,0,0,99,0,0,0,0,0,134,72,161,0,0,0,0,0,0,0,145,0,0,0,0,0,93,0,0,73,93,0,61,0,388,0,0,0,0,59,0,126,192,58,0,208,61,0,120,92,77,0,0,0,0,0,0,0,205,219,0,0,0,0,0,0,0,0,61,0,0,0,0,0,240,0,0,0,0,0,0,0,66,0,58,126,0,75,0,0,124,0,0,0,493,0,874,458,0,0,86,0,224,78,0,851
4050202097.mzXML,0,0,0,0,0,106,946,0,0,0,0,0,0,0,0,0,0,277,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,74,0,0,0,0,0,545,77,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,129,74,124,0,0,0,0,0,0,0,66,60,0,0,0,0,0,0,0,0,69,0,0,0,199,0,0,0,0,0,0,82,124,0,0,115,0,0,72,75,59,0,0,0,0,0,0,0,204,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,463,0,598,232,0,0,0,0,150,0,0,659
4050195752.mzXML,0,29,0,0,0,90,1042,31,33,23,0,22,54,32,0,23,0,362,766,0,0,0,0,41,0,0,0,0,0,22,42,20,0,0,103,25,21,25,24,21,0,26,73,0,0,0,0,0,385,80,41,41,0,58,0,20,32,89,0,22,0,0,23,38,0,0,28,0,0,165,78,122,0,23,0,22,0,0,0,58,50,0,23,0,0,41,0,30,54,60,0,37,0,160,28,0,0,0,32,34,71,104,32,0,110,57,0,57,84,53,24,0,22,0,0,39,45,202,103,24,0,0,21,0,0,0,0,52,0,0,29,0,0,114,0,31,0,0,0,0,0,34,0,43,51,0,48,0,0,44,40,0,20,186,0,648,221,0,0,46,33,131,45,0,662
4050195224.mzXML,0,0,0,0,0,123,995,53,51,0,0,0,49,50,0,0,0,434,1685,0,0,0,0,58,0,0,0,0,0,49,107,0,0,0,147,0,0,40,0,0,0,48,151,0,0,0,0,0,621,150,45,105,0,75,0,0,58,163,0,0,0,0,0,85,0,0,39,0,0,168,80,151,0,50,0,0,0,0,0,141,52,0,0,0,0,99,42,48,78,85,0,80,0,363,47,0,0,0,70,0,121,164,59,0,237,71,0,119,108,87,0,0,39,0,0,57,55,248,245,0,0,0,0,0,0,0,0,77,0,0,41,0,0,234,0,41,0,0,0,0,0,77,0,71,121,0,65,0,0,116,51,0,0,397,0,853,532,0,0,94,40,213,94,0,661
4050195717.mzXML,0,0,0,0,0,101,886,0,0,0,0,0,0,37,0,0,0,289,1115,0,0,0,0,36,0,0,0,0,0,42,66,0,0,0,104,0,0,0,0,0,0,0,112,0,0,0,0,0,546,82,0,70,0,55,0,0,42,127,0,0,0,0,0,57,0,0,0,0,0,149,67,140,0,0,0,0,0,0,0,82,49,0,0,0,0,65,0,0,51,73,0,54,0,250,0,0,0,0,43,0,82,134,46,0,150,58,0,61,73,54,0,0,0,0,0,0,37,160,180,0,0,0,0,0,0,0,0,38,0,0,0,0,0,134,0,0,0,0,0,0,0,44,0,41,60,0,77,0,0,68,0,0,0,323,0,491,309,0,0,72,0,128,65,0,570
4050203503.mzXML,0,0,0,0,0,127,1269,0,0,0,0,0,0,45,0,0,0,390,1351,0,0,0,0,50,0,0,0,0,0,45,72,0,0,0,124,0,0,0,0,0,0,0,132,0,0,0,0,0,604,112,0,72,0,71,0,0,46,115,0,0,0,0,0,79,0,0,0,0,0,192,85,167,0,0,0,0,0,0,0,99,55,0,0,0,0,79,0,0,61,82,0,52,0,250,0,0,0,0,49,0,113,164,51,0,180,72,0,75,108,69,0,0,0,0,0,0,65,243,186,0,0,0,0,0,0,0,0,61,0,0,0,0,0,166,0,0,0,0,0,0,0,48,0,50,74,0,72,0,0,86,54,0,0,373,0,769,351,0,0,86,0,195,67,0,851
4050203515.mzXML,0,0,0,0,0,135,1064,0,0,0,0,0,59,0,0,0,0,428,1768,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,132,0,0,0,0,0,0,0,176,0,0,0,0,0,524,135,0,87,0,70,0,0,59,161,0,0,0,0,0,91,0,0,0,0,0,166,72,152,0,0,0,0,0,0,0,138,60,0,0,0,0,100,0,0,76,84,0,66,0,387,0,0,0,0,0,0,116,176,0,0,210,71,0,105,98,81,0,0,0,0,0,0,0,215,249,0,0,0,0,0,0,0,0,64,0,0,0,0,0,202,0,0,0,0,0,0,0,62,0,0,115,0,96,0,0,99,0,0,0,540,0,644,493,0,0,102,0,230,84,0,844
4050203539.mzXML,0,55,0,0,0,133,1080,44,60,0,0,0,85,64,0,48,0,544,2226,0,0,0,0,68,0,0,0,0,0,58,149,0,0,0,183,43,0,47,44,0,0,56,219,0,0,0,0,0,758,183,57,106,0,90,0,0,68,217,0,0,0,0,0,132,0,0,52,0,0,176,88,153,0,61,0,0,0,0,0,208,57,0,0,0,0,126,61,59,106,105,0,103,0,567,55,0,0,0,78,51,160,204,62,0,293,77,0,139,128,100,0,0,44,0,0,73,71,299,299,44,0,0,0,0,0,0,0,95,0,0,46,0,0,265,0,0,52,0,57,0,0,99,0,96,176,0,81,0,0,158,75,0,0,489,0,1043,703,0,44,122,47,271,109,0,812
4050203359.mzXML,0,50,0,0,0,134,1200,0,55,0,0,0,0,64,0,0,0,517,1960,0,0,0,0,60,0,0,0,0,0,59,132,0,0,0,153,0,0,0,0,0,0,54,151,0,0,0,0,0,718,172,49,110,0,81,0,0,52,175,0,0,0,0,0,113,0,0,0,0,0,196,101,163,0,49,0,0,0,0,0,169,52,0,0,0,0,98,0,52,90,72,0,64,0,453,56,0,0,0,65,48,127,220,71,0,229,71,0,141,128,85,0,0,46,0,0,65,61,276,223,0,0,0,0,0,0,0,0,86,0,0,52,0,0,298,0,0,0,0,52,0,0,87,0,88,143,0,76,0,0,139,64,0,0,364,0,1135,560,0,0,110,0,262,98,0,787
4050203371.mzXML,0,47,0,0,0,124,1057,0,54,0,0,0,56,50,0,0,0,489,2112,0,0,0,0,56,0,0,0,0,0,58,154,0,0,0,148,40,0,40,0,0,0,57,200,0,0,0,0,0,749,152,0,101,0,75,0,0,65,194,0,0,0,0,0,113,0,0,43,0,0,156,70,132,0,55,0,0,0,0,0,182,54,0,0,0,0,119,51,55,103,86,0,93,0,499,44,0,0,0,77,43,153,202,65,0,285,72,0,139,111,89,0,0,0,0,0,61,61,238,278,42,0,0,0,0,0,0,0,83,0,0,50,0,0,238,0,48,41,0,54,0,0,94,0,85,160,0,69,0,0,145,65,0,0,395,0,874,649,0,46,123,42,245,110,0,678
4050203468.mzXML,0,0,0,0,0,88,842,0,0,0,0,0,0,0,0,0,0,259,804,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,81,0,0,0,0,0,0,0,76,0,0,0,0,0,436,61,0,57,0,46,0,0,0,79,0,0,0,0,0,44,0,0,0,0,0,135,67,117,0,0,0,0,0,0,0,58,49,0,0,0,0,49,0,0,0,47,0,0,0,166,0,0,0,0,0,0,71,134,39,0,104,53,0,55,76,43,0,0,0,0,0,0,42,160,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,38,46,0,58,0,0,49,0,0,0,238,0,524,239,0,0,57,0,115,51,0,731
4050203480.mzXML,0,33,0,0,0,94,912,0,0,0,0,0,54,32,0,0,0,297,924,0,0,0,0,51,0,0,0,0,0,0,46,0,0,0,96,0,0,0,0,0,0,0,89,0,0,0,0,0,259,79,39,40,0,58,0,0,30,82,0,0,0,0,0,41,0,0,0,0,0,129,72,109,0,30,0,0,0,0,0,71,48,0,0,0,0,64,0,36,44,63,0,44,0,220,33,0,0,0,36,0,78,115,31,0,140,61,0,57,71,59,0,0,0,0,0,32,45,174,146,0,0,0,0,0,0,0,0,52,0,0,0,0,0,113,0,33,0,0,0,0,0,0,0,48,53,0,51,0,0,52,40,0,0,298,0,599,261,0,0,56,33,153,47,0,777
4050203492.mzXML,0,36,0,28,0,102,981,41,41,0,0,25,44,44,0,28,0,399,1808,0,0,28,0,37,0,0,0,0,0,50,112,27,0,0,118,37,25,30,0,0,0,42,153,0,0,0,26,0,340,124,41,107,31,61,0,0,53,155,29,0,0,0,29,91,0,0,36,0,0,153,72,126,0,42,0,0,0,0,0,151,46,0,0,0,0,97,45,38,66,55,0,74,0,405,35,32,0,0,62,36,128,189,62,0,201,64,0,104,94,66,26,0,33,0,27,55,42,191,233,37,0,0,0,0,0,0,0,66,33,0,30,0,0,194,0,29,33,0,43,26,0,76,0,74,133,0,60,0,0,109,33,0,0,236,0,619,537,0,31,100,39,205,85,25,880
4050202698.mzXML,0,60,0,0,0,139,1083,0,60,0,0,0,0,62,0,0,0,568,1989,0,0,0,0,70,0,0,0,0,0,53,148,0,0,0,169,0,0,0,0,0,0,66,206,0,0,0,0,0,605,176,0,103,0,89,0,0,59,197,0,0,0,0,0,110,0,0,0,0,0,175,86,150,0,0,0,0,0,0,0,170,60,0,0,0,0,107,0,56,106,103,0,95,0,474,54,0,0,0,61,0,153,198,64,0,278,87,0,133,128,112,0,0,0,0,0,70,66,271,318,0,0,0,0,0,0,0,0,88,0,0,0,0,0,285,0,0,0,0,0,0,0,80,0,82,144,0,88,0,0,129,74,0,0,615,0,985,598,0,0,106,57,289,116,0,934
4050202807.mzXML,0,57,0,0,0,111,784,38,58,0,0,0,75,54,0,40,0,555,1724,0,0,0,0,57,0,0,0,0,0,39,96,0,0,0,126,40,0,0,36,0,0,52,168,0,0,0,0,0,613,155,47,78,0,71,0,0,51,170,0,35,0,0,0,86,0,0,56,0,0,164,89,123,0,47,0,0,0,0,0,126,56,0,0,0,0,86,41,54,86,81,0,78,0,390,44,0,0,0,60,40,135,167,42,0,232,71,0,115,128,96,0,0,0,0,0,73,66,258,247,48,0,0,0,0,0,0,0,95,0,0,37,0,0,238,0,0,0,0,43,0,0,73,0,78,110,0,54,0,0,89,50,0,0,530,0,995,470,0,0,89,52,242,99,0,1016
4050202819.mzXML,0,36,0,0,0,100,799,0,0,0,0,0,65,35,0,0,0,367,1182,0,0,0,0,41,0,0,0,0,0,37,77,0,0,0,101,0,0,0,0,0,0,0,107,0,0,0,0,0,243,98,34,58,0,63,0,0,37,115,0,0,0,0,0,60,0,0,37,0,0,132,71,106,0,0,0,0,0,0,0,101,54,0,0,0,0,70,0,37,57,57,0,59,0,276,0,0,0,0,44,0,85,136,40,0,144,58,0,82,93,55,0,0,0,0,0,48,47,190,153,0,0,0,0,0,0,0,0,56,0,0,0,0,0,149,0,0,0,0,0,0,0,51,0,52,81,0,56,0,0,75,36,0,0,303,0,558,355,0,0,73,0,161,62,0,717
4050202831.mzXML,0,0,0,0,0,90,904,0,0,0,0,0,41,0,0,0,0,270,792,0,0,0,0,44,0,0,0,0,0,0,49,0,0,0,97,0,0,0,0,0,0,0,79,0,0,0,0,0,399,72,0,50,0,54,0,0,0,79,0,0,0,0,0,50,0,0,0,0,0,146,71,101,0,0,0,0,0,0,0,67,52,0,0,0,0,53,0,0,48,59,0,43,0,216,0,0,0,0,41,0,74,126,0,0,105,48,0,56,74,57,0,0,0,0,0,0,50,189,134,0,0,0,0,0,0,0,0,61,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,40,51,0,61,0,0,55,0,0,0,318,0,540,243,0,0,52,0,153,52,0,670
