filename,Black Tea,Black tea,Green tea,Matcha tea,Oolong tea,Pu'er tea,apple,apple_cider,apricot,banana,beef,beer,blueberry,butter,cabernet sauvignon,carrot,celery,cherry tomato,chicken thigh,coffee,corn,corn husk,cowpea,cream_cow,cucumber,dragonfruit,durum wheat,egg_chicken,eye,fins,grape,honey,marchigiana beef,meat,milk_cow,milk_goat,orange,organ,peanut,pork,pork shoulder,quinoa,red raspberry,self caught fish,shoulder chops,shoulder roast,skin,soda,soybean,spleen,steak,strawberry,tomato,wheat,white onion,yogurt_cow
ADNI_Go2_P01_B07.mzXML,0,0,0,0,0,0,94,598,0,0,181,57,0,0,0,50,0,195,0,156,43,0,52,0,0,0,0,44,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,39,0,0,388
ADNI_Go2_P01_B08.mzXML,0,0,0,0,0,0,83,549,0,0,252,54,0,27,0,47,0,187,0,225,39,0,48,0,30,0,0,40,32,0,0,25,0,33,166,33,0,0,0,0,0,0,0,33,0,36,35,50,0,26,25,0,31,0,0,419
ADNI_Go2_P01_B09.mzXML,0,21,0,0,0,0,79,444,0,0,214,53,0,22,0,47,0,167,0,164,37,0,52,0,31,0,0,40,34,22,0,22,0,33,155,27,0,0,0,0,0,0,0,26,21,30,34,47,0,21,0,24,29,0,0,346
ADNI_Go2_P01_B10.mzXML,0,0,0,0,0,0,85,568,0,0,236,58,0,0,0,53,0,196,0,172,43,0,51,0,33,0,0,42,35,0,0,0,0,35,175,31,0,0,0,0,0,0,0,32,0,33,36,53,0,0,0,0,37,0,0,446
ADNI_Go2_P01_B11.mzXML,0,0,0,0,0,0,82,589,0,0,209,56,0,25,0,43,0,179,0,162,38,0,38,22,29,0,0,38,31,0,0,24,0,26,144,28,0,0,0,0,0,0,0,29,0,30,34,49,0,0,23,0,31,0,0,331
ADNI_Go2_P01_B12.mzXML,0,0,0,0,0,0,86,639,0,0,205,52,0,0,0,40,0,152,0,183,33,0,0,0,0,0,0,35,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,30,0,64,0,0,0,0,0,0,0,315
ADNI_Go2_P01_C01.mzXML,0,0,0,0,0,0,83,631,0,0,116,49,0,24,0,36,0,143,0,164,27,0,0,0,28,0,0,32,26,0,0,24,0,0,95,23,0,0,0,0,0,0,0,29,0,29,23,51,0,0,0,0,0,0,0,151
ADNI_Go2_P01_C02.mzXML,0,0,0,0,0,0,92,644,0,0,188,57,0,0,0,44,0,150,0,169,45,0,62,0,34,0,0,45,36,0,0,0,0,33,138,0,0,0,0,0,0,0,0,33,0,33,34,67,0,0,0,0,0,0,0,347
ADNI_Go2_P01_C03.mzXML,32,0,0,0,0,0,99,734,0,0,233,58,30,31,0,47,0,241,0,169,49,0,57,0,35,0,0,48,42,31,0,35,0,38,162,31,0,0,0,0,0,0,0,38,27,37,44,52,0,38,0,28,33,26,27,423
ADNI_Go2_P01_C04.mzXML,0,0,0,0,0,0,70,396,0,0,215,41,0,25,0,34,0,129,0,156,29,0,42,23,0,0,0,46,42,41,0,0,0,47,146,36,0,26,0,0,0,0,0,29,23,33,45,42,0,30,0,0,23,0,0,269
ADNI_Go2_P01_C05.mzXML,0,0,0,0,0,0,89,655,0,0,159,47,0,28,0,42,0,151,0,165,38,0,40,0,30,0,0,37,34,0,0,27,0,29,134,28,0,0,0,0,0,0,0,38,0,35,29,53,0,0,0,0,0,0,0,254
ADNI_Go2_P01_C06.mzXML,0,0,0,0,0,0,93,678,0,0,201,52,0,0,0,41,0,157,0,180,0,0,0,0,0,0,0,35,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,33,0,62,0,0,0,0,0,0,0,311
ADNI_Go2_P01_C07.mzXML,35,44,0,0,0,0,97,666,0,0,278,70,35,30,0,60,0,331,0,171,58,0,57,0,40,0,0,53,39,33,34,34,0,49,179,35,0,0,0,0,0,0,0,35,0,36,50,53,0,0,0,0,53,0,31,589
ADNI_Go2_P01_C08.mzXML,0,37,0,0,0,0,102,726,0,0,217,63,0,0,0,53,0,190,0,176,49,0,55,0,0,0,0,49,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,37,68,0,0,0,0,41,0,0,415
ADNI_Go2_P01_C09.mzXML,0,36,0,0,0,0,82,575,0,0,197,49,0,0,0,42,0,207,0,166,39,0,50,0,0,0,0,37,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,31,0,0,31,55,0,0,0,0,36,0,0,391
ADNI_Go2_P01_C10.mzXML,0,0,0,0,0,0,88,610,0,0,205,62,0,25,25,47,0,199,0,164,42,25,53,0,30,0,0,45,43,30,25,25,0,40,142,28,0,0,0,0,0,0,0,36,0,33,39,51,0,0,0,0,40,0,25,360
ADNI_Go2_P01_C11.mzXML,36,47,0,0,0,0,105,756,0,0,216,65,35,0,0,62,0,210,0,175,55,0,51,0,45,0,0,59,41,32,0,33,0,45,159,32,0,0,0,0,0,0,0,38,0,36,41,62,0,0,0,35,38,0,0,474
ADNI_Go2_P01_C12.mzXML,0,35,0,0,0,0,95,635,0,0,252,55,0,0,0,49,0,195,0,160,44,0,51,0,0,0,0,41,34,0,0,0,0,34,174,34,0,0,0,0,0,0,0,36,0,36,36,60,0,0,0,0,38,0,0,481
ADNI_Go2_P01_D01.mzXML,0,0,0,0,0,0,92,594,0,0,136,51,0,0,0,41,0,146,0,162,37,0,38,0,31,0,0,43,35,0,0,0,0,0,100,0,0,0,0,0,0,0,0,34,0,32,34,59,0,0,0,0,31,0,0,236
ADNI_Go2_P01_D02.mzXML,0,36,0,0,0,0,98,632,0,0,231,55,0,0,0,48,0,198,0,167,42,0,39,0,0,0,0,44,34,0,0,0,0,35,174,0,0,0,0,0,0,0,0,34,0,35,41,60,0,32,0,0,35,0,0,503
ADNI_Go2_P01_D03.mzXML,0,35,0,0,0,0,86,526,0,0,225,58,0,0,0,51,0,213,0,173,42,0,35,0,33,0,0,44,32,0,0,0,0,30,145,0,0,0,0,0,0,0,0,0,0,30,32,59,0,0,0,0,37,0,0,390
ADNI_Go2_P01_D04.mzXML,0,0,0,0,0,0,92,583,0,0,192,57,0,0,0,43,0,166,0,171,0,0,0,0,0,0,0,40,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,328
ADNI_Go2_P01_D05.mzXML,0,0,0,0,0,0,82,518,0,0,185,58,0,0,0,42,0,145,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,355
ADNI_Go2_P01_D06.mzXML,0,0,0,0,0,0,75,409,0,0,174,39,0,0,0,35,0,143,0,162,0,0,0,0,0,0,0,28,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,30,28,50,0,0,0,0,0,0,0,334
ADNI_Go2_P01_D07.mzXML,0,0,0,0,0,0,85,582,0,0,214,55,0,0,0,38,0,158,0,168,38,0,56,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,35,0,0,416
ADNI_Go2_P01_D08.mzXML,0,0,0,0,0,0,84,639,0,0,205,53,0,0,0,45,0,187,0,160,38,0,32,0,28,0,0,38,33,0,0,0,0,31,157,28,0,0,0,0,0,0,0,31,0,33,32,48,0,0,0,0,29,0,0,396
ADNI_Go2_P01_D09.mzXML,0,37,0,0,0,0,92,548,0,0,207,64,0,0,0,57,0,202,0,164,44,0,56,0,0,0,0,45,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,36,64,0,0,0,0,41,0,0,417
ADNI_Go2_P01_D10.mzXML,0,0,0,0,0,0,102,773,0,0,202,50,0,0,0,44,0,155,0,184,42,0,41,0,0,0,0,40,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,36,0,0,0,66,0,0,0,0,0,0,0,352
ADNI_Go2_P01_D11.mzXML,0,0,0,0,0,0,93,682,0,0,225,52,0,0,0,45,0,139,0,182,38,0,37,0,0,0,0,42,37,0,0,0,0,0,178,0,0,0,0,0,0,0,0,36,0,34,37,59,0,0,0,0,0,0,0,380
ADNI_Go2_P01_D12.mzXML,36,30,0,0,0,0,106,741,0,0,247,63,37,31,0,58,0,296,0,169,54,0,63,0,42,0,0,52,43,33,28,36,0,43,164,32,26,0,0,0,0,0,0,41,0,38,43,50,0,0,26,33,42,26,30,472
ADNI_Go2_P01_E01.mzXML,0,0,0,0,0,0,89,672,0,0,134,44,24,0,0,42,0,146,0,169,35,0,36,0,26,0,0,35,32,24,0,24,0,24,97,0,0,0,0,0,0,0,0,30,0,30,30,46,0,0,0,25,28,24,0,188
ADNI_Go2_P01_E02.mzXML,0,0,0,0,0,0,79,482,0,0,183,48,0,0,0,36,0,150,0,164,30,0,0,0,0,0,0,33,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,30,0,32,30,53,0,0,0,0,0,0,0,400
ADNI_Go2_P01_E03.mzXML,0,0,0,0,0,0,73,480,0,0,158,50,0,0,0,36,0,150,0,153,31,0,0,0,0,0,0,30,28,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,30,0,53,0,0,0,0,29,0,0,263
ADNI_Go2_P01_E04.mzXML,27,31,0,0,0,0,77,489,0,0,236,56,27,23,0,51,0,287,0,164,42,0,49,0,32,0,0,41,33,0,26,26,0,32,169,26,0,0,0,0,0,0,0,32,0,30,37,43,0,0,0,0,42,0,0,491
ADNI_Go2_P01_E05.mzXML,0,48,0,0,0,0,92,658,0,0,198,65,0,0,0,53,0,231,0,168,46,0,50,0,0,0,0,48,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,49,0,0,453
ADNI_Go2_P01_E06.mzXML,0,0,0,0,0,0,94,687,0,0,207,42,0,29,0,41,0,145,0,167,40,0,50,0,29,0,0,35,34,27,0,26,0,34,151,29,0,0,0,0,0,0,0,41,0,34,37,48,0,0,0,26,27,0,27,376
ADNI_Go2_P01_E07.mzXML,0,0,0,0,0,0,85,593,0,0,202,55,0,0,0,46,0,180,0,163,37,0,50,0,30,0,0,40,31,0,0,25,0,28,151,27,0,0,0,0,0,0,0,31,0,34,32,50,0,0,0,0,29,0,0,366
ADNI_Go2_P01_E08.mzXML,0,0,0,0,0,0,65,364,0,0,195,44,0,22,0,32,0,129,0,282,23,0,38,0,0,0,0,26,26,0,0,0,0,22,129,23,0,0,0,0,0,0,0,26,0,28,29,39,0,0,0,0,22,0,0,260
ADNI_Go2_P01_E09.mzXML,0,0,0,0,0,0,84,446,0,0,209,47,0,0,0,39,0,156,0,224,34,0,45,0,0,0,0,33,30,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,32,33,52,0,0,0,0,0,0,0,322
ADNI_Go2_P01_E10.mzXML,0,49,0,0,0,0,91,590,0,0,207,63,0,0,0,58,0,216,0,175,45,0,37,0,37,0,0,50,33,0,0,0,0,34,159,0,0,0,0,0,0,0,0,31,0,31,35,60,0,0,0,0,46,0,0,478
ADNI_Go2_P01_E11.mzXML,0,37,0,0,0,0,89,526,0,0,209,60,0,0,0,52,0,204,0,170,42,0,49,0,34,0,0,45,33,0,0,0,0,33,157,0,0,0,0,0,0,0,0,0,0,0,34,61,0,0,0,0,41,0,0,416
ADNI_Go2_P01_E12.mzXML,0,34,0,0,0,0,85,588,0,0,177,54,0,0,0,41,0,165,0,167,33,0,42,0,0,0,0,40,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,33,31,58,0,0,0,0,35,0,0,391
ADNI_Go2_P01_F01.mzXML,0,0,0,0,0,0,93,687,0,0,140,49,0,0,0,42,0,148,0,173,36,0,36,0,30,0,0,39,35,26,0,27,0,0,103,0,0,0,0,0,0,0,0,34,0,32,32,52,0,0,0,27,29,0,0,190
ADNI_Go2_P01_F02.mzXML,0,0,0,0,0,0,93,741,0,0,194,56,0,0,0,49,0,205,0,172,40,0,34,0,30,0,0,39,31,0,0,28,0,0,147,28,0,0,0,0,0,0,0,31,0,32,33,53,0,0,0,0,37,0,0,350
ADNI_Go2_P01_F03.mzXML,0,0,0,0,0,0,86,661,0,0,233,59,0,27,0,47,0,187,0,166,36,0,49,23,29,0,0,39,32,0,0,25,0,31,162,29,0,0,0,0,0,0,0,32,0,33,36,52,0,0,24,0,30,0,0,435
ADNI_Go2_P01_F04.mzXML,0,0,0,0,0,0,84,526,0,0,208,47,0,0,0,43,0,153,0,175,44,0,53,0,0,0,0,41,37,0,0,0,0,31,148,0,0,0,0,0,0,0,0,36,0,35,38,53,0,0,0,0,33,0,0,417
ADNI_Go2_P01_F05.mzXML,0,0,0,0,0,0,95,720,0,0,227,64,0,27,26,52,0,207,0,230,41,0,54,27,36,0,0,44,33,0,0,28,0,33,162,35,0,0,0,0,0,0,0,33,0,34,34,58,0,0,27,0,36,0,25,343
ADNI_Go2_P01_F06.mzXML,0,48,0,0,0,0,97,650,0,0,282,73,0,0,0,60,0,220,0,168,56,0,69,0,41,0,0,54,36,0,0,0,0,39,179,0,0,0,0,0,0,0,0,34,0,34,42,63,0,0,0,0,46,0,0,548
ADNI_Go2_P01_F07.mzXML,0,0,0,0,0,0,106,817,0,0,213,56,33,0,0,57,0,195,0,174,55,0,62,0,40,0,0,50,41,0,0,30,0,41,159,32,0,0,0,0,0,0,0,37,0,35,37,55,0,0,0,33,36,0,0,353
ADNI_Go2_P01_F08.mzXML,0,0,0,0,0,0,75,533,0,0,159,58,0,0,0,34,0,145,0,246,30,0,41,0,0,0,0,32,27,0,0,0,0,0,123,0,0,0,0,0,0,0,0,28,0,27,26,50,0,0,0,0,29,0,0,267
ADNI_Go2_P01_F09.mzXML,0,0,0,0,0,0,89,591,0,0,170,50,0,0,0,35,0,157,0,167,0,0,40,0,0,0,0,33,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,32,0,58,0,0,0,0,0,0,0,310
ADNI_Go2_P01_F10.mzXML,0,0,0,0,0,0,96,776,0,0,255,57,0,0,0,50,0,178,0,182,48,0,55,0,34,0,0,49,38,0,0,0,0,38,187,33,0,0,0,0,0,0,0,39,0,37,40,61,0,0,0,0,0,0,0,443
ADNI_Go2_P01_F11.mzXML,0,0,0,0,0,0,73,466,0,0,199,40,0,0,0,35,0,128,0,165,0,0,36,0,0,0,0,29,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,31,31,49,0,0,0,0,0,0,0,328
ADNI_Go2_P01_F12.mzXML,0,0,0,0,0,0,82,535,0,0,169,50,0,24,0,40,0,162,0,233,34,0,24,0,27,0,0,31,27,0,0,0,0,0,139,28,0,0,0,0,0,0,0,34,0,30,25,53,0,0,0,0,32,0,0,291
ADNI_Go2_P01_G01.mzXML,0,0,0,0,0,0,87,586,0,0,129,48,0,26,0,43,0,155,0,158,37,0,37,0,29,0,0,38,33,26,0,0,0,0,100,0,0,0,0,0,0,0,0,38,0,33,30,55,0,0,0,0,0,0,0,172
ADNI_Go2_P01_G02.mzXML,0,0,0,0,0,0,82,593,0,0,219,57,0,24,0,44,0,185,0,163,36,0,48,0,30,0,0,39,33,0,0,26,0,29,164,28,0,0,0,0,0,0,0,30,0,32,33,52,0,0,23,0,34,0,0,405
ADNI_Go2_P01_G03.mzXML,28,0,0,0,0,0,93,704,0,0,244,56,32,28,0,52,0,194,0,175,51,0,62,0,35,0,0,45,43,28,0,29,0,39,177,31,0,0,0,0,0,0,0,38,26,35,45,50,0,28,26,30,35,26,26,447
ADNI_Go2_P01_G04.mzXML,0,0,0,0,0,0,102,726,0,0,231,64,0,0,0,53,0,164,0,319,47,0,45,0,0,0,0,48,39,0,0,0,0,0,180,0,0,0,0,0,0,0,0,37,0,0,36,69,0,0,0,0,0,0,0,421
ADNI_Go2_P01_G05.mzXML,29,0,0,0,0,0,101,751,0,0,238,53,33,0,0,56,0,204,0,172,56,0,69,0,36,0,0,48,42,30,29,30,0,45,172,32,0,0,0,0,0,0,0,39,0,36,46,47,0,0,0,0,39,0,0,441
ADNI_Go2_P01_G06.mzXML,0,36,0,0,0,0,93,646,0,0,201,52,0,0,0,46,0,200,0,166,45,0,54,0,0,0,0,40,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,34,0,33,0,58,0,0,0,0,40,0,0,406
ADNI_Go2_P01_G07.mzXML,0,0,0,0,0,0,96,689,0,0,165,52,0,0,0,43,0,151,0,174,38,0,53,0,0,0,0,39,37,0,0,0,0,0,143,0,0,0,0,0,0,0,0,34,0,32,34,57,0,0,0,0,33,0,0,342
ADNI_Go2_P01_G08.mzXML,0,0,0,0,0,0,78,480,0,0,169,48,0,0,0,34,0,152,0,162,0,0,0,0,0,0,0,31,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,29,0,54,0,0,0,0,30,0,0,333
ADNI_Go2_P01_G09.mzXML,0,0,0,0,0,0,80,485,0,0,194,48,0,0,0,34,0,146,0,165,0,0,0,0,0,0,0,31,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,29,0,31,30,53,0,0,0,0,0,0,0,415
ADNI_Go2_P01_G10.mzXML,0,0,0,0,0,0,85,669,0,0,215,48,0,28,0,40,0,148,0,173,38,0,39,0,29,0,0,37,35,26,0,29,0,32,151,30,0,0,0,0,0,0,0,37,0,32,39,49,0,0,0,26,29,0,0,375
ADNI_Go2_P01_G11.mzXML,0,35,0,0,0,0,97,651,0,0,240,58,0,0,0,49,0,193,0,164,37,0,50,0,0,0,0,43,0,0,0,0,0,35,172,34,0,0,0,0,0,0,0,33,0,35,35,61,0,0,0,0,36,0,0,500
ADNI_Go2_P01_G12.mzXML,0,0,0,0,0,0,86,678,0,0,197,52,0,0,0,39,0,164,0,226,32,0,0,0,0,0,0,34,28,0,0,0,0,0,171,30,0,0,0,0,0,0,0,31,0,32,31,66,0,0,0,0,33,0,0,416
ADNI_Go2_P01_H01.mzXML,0,0,0,0,0,0,81,551,0,0,113,49,0,0,0,33,0,141,0,158,24,0,0,0,0,0,0,29,24,0,0,0,0,0,97,0,0,0,0,0,0,0,0,30,0,26,0,52,0,0,0,0,26,0,0,173
ADNI_Go2_P01_H02.mzXML,33,59,30,0,0,0,76,344,0,0,225,71,30,0,0,53,0,303,0,294,44,0,35,0,34,0,0,48,32,0,0,0,0,35,161,0,0,0,0,0,0,0,0,29,0,30,38,47,0,0,0,0,50,0,0,540
ADNI_Go2_P01_H03.mzXML,0,35,0,0,0,0,92,578,0,0,238,62,0,0,0,45,0,195,0,292,38,0,48,0,30,0,0,41,32,0,0,0,0,31,163,30,0,0,0,0,0,0,0,30,0,32,34,55,0,0,0,0,37,0,0,462
ADNI_Go2_P01_H04.mzXML,43,72,0,0,0,0,107,645,0,0,258,68,42,0,0,61,0,334,0,160,59,0,64,0,45,0,0,61,45,0,0,0,0,46,178,0,0,0,0,0,0,0,0,42,0,41,47,62,0,0,0,0,50,0,0,631
ADNI_Go2_P01_H05.mzXML,0,0,0,0,0,0,67,283,0,0,95,35,0,0,0,31,0,127,0,150,0,0,0,0,0,0,0,25,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,135
ADNI_Go2_P01_H06.mzXML,0,0,0,0,0,0,76,494,0,0,182,42,0,0,0,33,0,153,0,166,28,0,34,0,0,0,0,27,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,32,0,28,0,54,0,0,0,0,27,0,0,397
ADNI_Go2_P01_H07.mzXML,0,0,0,0,0,0,87,601,0,0,180,50,0,0,0,36,0,151,0,168,0,0,46,0,0,0,0,34,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,33,0,0,351
ADNI_Go2_P01_H08.mzXML,0,45,0,0,0,0,95,628,0,0,187,63,0,0,0,50,0,296,0,156,41,0,35,0,35,0,0,45,32,0,0,0,0,0,141,0,0,0,0,0,0,0,0,32,0,33,0,56,0,0,0,0,37,0,0,407
ADNI_Go2_P01_H09.mzXML,0,0,0,0,0,0,91,712,0,0,194,50,0,31,0,43,0,145,0,168,45,0,58,0,31,0,0,39,36,29,0,28,0,32,150,32,0,0,0,0,0,0,0,43,0,38,32,57,0,0,0,0,0,0,28,341
ADNI_Go2_P01_H10.mzXML,0,33,0,0,0,0,83,489,0,0,123,48,0,0,0,39,0,181,0,163,30,0,0,0,0,0,0,36,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,32,0,0,273
ADNI_Go2_P01_H11.mzXML,0,33,0,0,0,0,72,442,0,0,196,47,0,0,0,38,0,153,0,156,32,0,29,0,0,0,0,35,27,0,0,0,0,26,145,0,0,0,0,0,0,0,0,28,0,30,34,49,0,0,0,0,27,0,0,388
ADNI_Go2_P01_H12.mzXML,0,30,0,0,0,0,93,636,0,0,190,71,0,0,0,56,0,285,0,150,43,0,37,0,37,0,0,47,34,0,0,33,0,33,144,35,0,0,0,0,0,0,0,33,0,33,37,57,0,0,0,0,41,0,0,361
Blank_Inj_P01_01.mzXML,0,62,0,0,64,0,92,423,0,0,133,0,0,0,0,0,0,182,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,495
Blank_Inj_P01_02.mzXML,0,0,0,0,36,0,73,289,0,0,101,38,0,0,0,33,0,139,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,219
Blank_Inj_P01_03.mzXML,0,33,0,0,34,0,72,322,0,0,100,38,0,0,0,32,0,131,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,210
Blank_Inj_P01_04.mzXML,0,0,0,0,0,0,66,222,0,0,97,35,0,0,0,33,0,141,0,150,0,0,0,0,0,0,0,26,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,25,0,46,0,0,0,0,27,0,0,137
Blank_Inj_P01_05.mzXML,0,0,0,0,0,0,70,299,0,0,99,38,0,0,0,32,0,136,0,153,0,0,0,0,0,0,0,27,25,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,28,0,0,140
