filename,achene,ant,artificial sweetener,berry,bison,butter,cheese,citrus,corn husk,cow,cream,cricket,drupe,drupe_aggregate,egg_poultry,fish_freshwater,fish_saltwater,flower,grain/grass,grasshopper,herb/spice,honey,lamb,legume,lizard,meat_undetermined,milk,mineral,mouse,multifruit,mushroom,not provided,nut,pepo,pig,pome,poultry,pseudocarp,rabbit,rat,sap,seaweed,seed,shellfish,snail,sugarcane,tea/infusion,truffle,vegetable,waterfowl,worm,yeast,yogurt
4050201943.mzXML,0,0,0,2892,0,58,57,352,0,2444,115,0,448,73,259,814,1604,287,1581,0,482,69,121,759,104,78,451,0,313,64,84,0,0,182,290,1467,258,78,0,0,0,88,71,337,0,99,565,0,1034,67,147,0,971
4050202064.mzXML,0,0,0,1915,0,0,0,189,0,1658,79,0,307,0,169,560,1087,176,1059,0,330,58,93,466,70,0,324,0,211,0,63,0,0,115,229,1421,205,0,0,0,0,65,0,199,0,99,435,0,670,0,97,0,849
4050202076.mzXML,21,26,23,1907,32,49,42,248,38,2126,87,32,352,58,232,677,1263,215,1287,47,345,43,106,636,83,59,356,21,267,43,52,0,0,136,243,771,223,52,34,0,23,64,64,282,26,55,235,25,718,59,125,25,615
4050202088.mzXML,0,0,0,2209,0,49,68,245,0,1666,93,0,326,52,164,449,903,212,1159,50,386,65,86,527,67,64,340,0,206,0,74,0,0,125,233,1409,194,0,0,0,0,57,50,190,0,88,437,0,777,52,92,0,913
4050202100.mzXML,0,0,0,2743,0,0,69,324,0,2101,97,0,426,73,214,591,1148,244,1499,0,460,68,116,721,85,71,404,0,270,0,82,0,0,174,288,1558,234,62,0,0,0,72,76,240,0,103,613,0,927,63,118,0,1075
4050201920.mzXML,0,0,0,1502,0,0,0,172,0,708,0,0,241,43,83,210,477,114,714,0,289,46,70,319,0,0,188,0,128,0,0,0,0,101,151,981,118,41,0,0,0,54,0,88,0,75,340,0,609,0,47,0,344
4050195640.mzXML,0,0,0,3032,0,60,73,331,0,2233,103,0,421,68,221,650,1294,279,1425,49,480,60,111,692,84,69,415,0,270,62,78,0,0,180,279,1247,244,74,0,0,0,86,68,274,0,85,538,0,1012,61,124,0,968
4050195664.mzXML,0,0,0,2319,0,44,58,293,0,1737,78,0,316,54,185,497,961,216,1112,51,358,51,90,574,79,58,296,0,242,45,74,0,0,148,236,1070,206,51,0,0,0,53,52,204,0,74,499,0,804,50,90,0,936
4050195868.mzXML,0,0,0,2069,0,0,56,276,0,1661,94,0,349,56,155,559,1123,214,1206,0,410,58,107,570,77,60,373,0,226,0,78,0,0,143,243,1282,192,0,0,0,0,66,0,204,0,95,536,0,821,0,101,0,950
4050195880.mzXML,36,0,0,2734,38,59,53,347,54,2709,121,44,443,75,281,815,1590,256,1660,82,456,47,152,787,107,81,437,34,338,55,74,0,0,172,358,972,301,62,38,0,0,78,85,364,0,71,504,38,936,84,173,0,842
4050195617.mzXML,0,0,0,1712,0,36,52,174,39,1062,71,0,265,41,136,363,744,169,874,35,308,54,61,478,54,43,291,0,144,36,58,0,0,116,163,1113,121,41,0,0,0,49,35,145,0,63,211,0,649,39,76,0,721
4050195629.mzXML,0,0,0,1736,0,39,43,202,0,1233,62,0,298,37,138,342,648,176,987,42,307,57,76,509,53,49,289,0,162,41,54,0,0,117,188,1099,145,42,0,0,0,54,44,140,0,73,315,0,687,40,76,0,776
4050195641.mzXML,31,0,0,2701,35,53,62,337,45,2476,103,34,441,56,252,757,1380,266,1575,62,433,58,130,787,97,79,353,0,296,62,75,0,0,177,316,1198,266,63,38,0,0,70,78,292,0,72,414,34,947,69,144,0,754
4050195653.mzXML,0,0,0,2426,27,53,58,287,41,2070,94,35,338,58,217,654,1289,217,1244,54,358,42,100,578,86,58,393,0,247,47,71,0,0,139,239,1005,195,59,34,0,0,68,55,249,0,58,339,32,759,54,115,0,874
4050195824.mzXML,0,0,0,2201,0,0,57,256,48,1734,67,0,320,58,193,548,1093,212,1141,0,367,64,85,535,78,54,310,0,230,50,65,0,0,140,223,1162,180,54,0,0,0,56,0,205,0,82,480,0,807,52,94,0,860
4050195836.mzXML,0,0,0,3671,0,63,69,389,0,2745,113,0,461,80,265,689,1402,289,1745,64,468,57,134,804,95,83,482,0,314,64,86,0,0,182,343,1404,289,71,0,0,0,88,71,292,0,94,594,0,1017,75,150,0,1082
4050195848.mzXML,0,0,0,2627,33,51,56,324,51,2496,96,38,384,62,251,770,1524,262,1510,60,426,50,122,785,94,68,383,0,291,52,76,0,0,158,296,996,244,63,36,0,0,69,71,315,0,65,450,38,883,62,138,0,774
4050195860.mzXML,0,0,0,2295,0,0,0,286,0,1917,90,0,380,70,195,612,1224,214,1329,0,426,66,98,603,85,61,367,0,230,0,69,0,0,145,263,1441,221,0,0,0,0,72,59,236,0,97,545,0,836,59,114,0,994
4050195680.mzXML,0,0,0,1575,0,0,0,164,0,761,53,0,216,0,79,171,421,122,610,0,278,50,52,305,0,0,268,0,76,0,0,0,0,86,102,1028,84,0,0,0,0,48,0,85,0,80,387,0,591,0,0,0,605
4050195704.mzXML,0,0,0,2281,0,0,0,245,0,1569,70,0,307,62,153,412,889,197,1060,0,382,70,80,473,65,0,327,0,185,0,66,0,0,125,198,1488,156,0,0,0,0,65,0,182,0,100,553,0,805,0,84,0,864
4050203430.mzXML,36,34,22,3073,37,62,60,386,35,2838,110,45,495,73,306,882,1690,296,1798,78,449,49,157,900,127,96,396,33,392,61,79,0,24,194,373,904,334,69,40,24,27,80,93,364,34,66,385,39,963,89,165,34,774
4050202782.mzXML,0,0,0,2832,0,55,63,282,49,2258,91,0,386,71,223,688,1327,259,1394,50,438,54,113,685,84,68,396,0,272,53,82,0,0,169,261,1430,228,73,0,0,0,72,64,265,0,84,468,0,901,64,117,0,995
4050202794.mzXML,0,0,0,2516,0,54,53,340,0,2192,85,0,362,64,214,610,1219,236,1277,0,415,0,118,645,84,68,381,0,273,53,80,0,0,157,257,1110,230,65,0,0,0,69,56,253,0,91,555,0,855,61,111,0,854
4050203383.mzXML,0,0,0,2199,0,55,62,253,0,1885,102,0,358,53,194,565,1088,213,1264,52,374,64,100,621,71,62,383,0,249,0,69,0,0,139,259,1375,216,50,0,0,0,72,57,222,0,92,454,0,798,55,110,0,825
4050203395.mzXML,0,0,0,2560,0,49,51,271,0,2094,100,0,335,61,230,610,1319,227,1245,46,376,53,105,629,77,73,379,0,247,46,70,0,0,150,236,1060,203,63,0,0,0,69,53,307,0,73,497,0,824,59,129,0,627
4050202791.mzXML,0,0,0,3092,0,60,58,363,48,2730,118,47,461,80,306,829,1670,279,1721,63,448,57,131,802,110,78,441,0,347,63,85,0,0,172,351,1294,313,77,0,0,0,87,86,363,0,83,505,0,996,73,169,0,786
4050202803.mzXML,0,0,0,2470,0,49,64,236,43,1430,90,0,314,45,155,446,845,198,1142,52,376,64,85,567,61,50,345,0,185,0,71,0,0,144,207,1180,165,46,0,0,0,53,43,182,0,84,571,0,805,48,102,0,839
4050201952.mzXML,0,0,0,2142,0,0,0,203,0,1310,98,0,284,0,144,424,812,177,985,0,318,64,69,480,69,0,350,0,169,0,61,0,0,118,194,1360,154,0,0,0,0,0,0,168,0,94,497,0,680,0,90,0,998
4050201964.mzXML,0,0,0,1754,0,50,50,217,39,1859,91,33,300,48,198,648,1228,176,1103,61,304,50,105,545,86,58,318,0,254,34,62,0,0,118,270,1115,224,35,37,0,0,55,57,239,0,72,276,0,666,62,120,0,741
4050201976.mzXML,0,0,0,1780,0,47,45,173,36,1428,71,0,253,39,144,452,938,165,888,34,276,46,77,446,58,49,280,0,179,35,60,0,0,114,195,1245,159,35,0,0,0,49,32,172,0,74,202,0,607,49,79,0,723
4050201988.mzXML,0,0,0,2894,0,59,65,353,0,2286,106,0,430,79,245,691,1402,279,1550,51,473,64,114,746,93,68,429,0,307,68,79,0,0,185,290,1308,248,70,0,0,0,75,70,287,0,91,590,0,965,63,122,0,1009
4050202000.mzXML,0,0,0,1929,0,0,47,167,0,999,56,0,216,40,88,279,638,156,756,0,328,53,61,357,42,0,278,0,115,0,60,0,0,100,120,1292,93,42,0,0,0,52,0,123,0,70,353,0,650,0,55,0,734
4050201820.mzXML,0,0,0,1991,0,51,48,191,0,1886,95,0,323,57,183,600,1212,178,1122,0,330,59,93,463,76,56,374,0,235,0,67,0,0,117,220,1479,193,0,0,0,0,67,47,210,0,81,321,0,656,54,96,0,828
4050195677.mzXML,0,0,0,1777,0,48,60,201,0,1785,106,0,302,51,188,549,1012,197,1058,45,360,52,92,503,80,53,342,0,229,41,71,0,0,133,258,1396,206,48,0,0,0,61,49,224,0,74,367,0,713,53,103,0,899
4050196852.mzXML,0,0,0,2343,0,55,56,248,0,2436,88,0,365,58,233,722,1471,241,1386,48,378,52,121,662,100,72,387,0,299,49,78,0,0,144,280,1265,252,49,0,0,0,72,63,282,0,75,396,0,814,72,124,0,851
4050196481.mzXML,0,0,0,1835,0,0,53,197,51,1021,53,0,257,36,99,302,569,196,885,0,304,60,65,498,43,38,253,0,150,40,78,0,0,113,146,1387,120,0,0,0,0,49,0,120,0,73,317,0,696,35,60,0,817
4050196493.mzXML,0,0,0,2111,0,54,61,199,49,1728,106,0,338,57,186,568,1063,209,1197,48,341,54,94,565,74,53,366,0,250,42,73,0,0,123,246,1403,193,47,0,0,0,68,48,216,0,80,326,0,718,55,116,0,856
4050196505.mzXML,0,0,0,3294,0,57,61,371,49,2403,116,0,464,88,269,711,1481,306,1710,62,469,48,112,830,95,63,468,0,306,60,87,0,0,181,299,1088,265,72,0,0,0,79,76,308,0,83,630,0,1000,67,157,0,897
4050196829.mzXML,0,0,33,2319,35,57,52,247,46,2308,102,36,366,56,213,683,1373,243,1351,51,363,52,109,648,79,68,350,0,266,52,61,0,0,142,271,1093,239,59,37,0,0,63,63,288,0,80,243,31,744,58,121,30,699
4050196841.mzXML,0,0,0,2599,0,51,67,291,0,1851,101,0,379,69,192,539,1146,214,1353,46,389,51,85,620,75,49,401,0,230,50,74,0,0,145,239,1207,198,51,0,0,0,64,52,223,0,84,525,0,801,53,112,0,929
4050196853.mzXML,0,0,0,2543,0,0,0,286,0,1686,88,0,330,0,176,490,1007,209,1073,0,422,74,92,488,68,0,318,0,231,0,0,0,0,141,225,1553,200,65,0,0,0,73,0,199,0,103,583,0,870,0,88,0,927
